zip_code,state_code,service_type,avg_price,min_price,max_price
00641,PR,Armed Guard,41.58,28.86,54.29
00641,PR,Executive Protection,69.21,52.56,85.87
00646,PR,Unarmed Guard,38.08,19.78,56.37
00646,PR,Armed Guard,42.64,28.4,56.88
00646,PR,Executive Protection,53.04,44.47,61.62
00647,PR,Unarmed Guard,40.76,18.91,62.6
00647,PR,Armed Guard,37.46,34.81,40.1
00647,PR,Executive Protection,55.87,43.68,68.05
00650,PR,Unarmed Guard,32.99,18.91,47.06
00650,PR,Armed Guard,41.14,36.86,45.42
00650,PR,Executive Protection,73.78,59.97,87.58
00652,PR,Unarmed Guard,36.9,18.76,55.04
00652,PR,Armed Guard,49.19,37.5,60.87
00652,PR,Executive Protection,73.97,50.74,97.19
00653,PR,Unarmed Guard,26.4,19.76,33.03
00653,PR,Armed Guard,46.82,23.82,69.81
00653,PR,Executive Protection,48.95,44.91,53.0
00656,PR,Unarmed Guard,23.39,19.06,27.72
00656,PR,Armed Guard,57.32,36.2,78.43
00656,PR,Executive Protection,66.73,49.64,83.81
00659,PR,Unarmed Guard,30.36,19.42,41.29
00659,PR,Armed Guard,33.6,27.68,39.53
00659,PR,Executive Protection,71.08,53.61,88.56
00660,PR,Unarmed Guard,26.32,18.89,33.76
00660,PR,Armed Guard,38.04,25.1,50.97
00660,PR,Executive Protection,69.04,50.23,87.85
00662,PR,Unarmed Guard,38.99,18.1,59.89
00662,PR,Armed Guard,48.75,30.21,67.29
00662,PR,Executive Protection,58.62,42.93,74.32
00664,PR,Unarmed Guard,34.22,19.97,48.47
00664,PR,Armed Guard,50.99,29.56,72.42
00664,PR,Executive Protection,53.73,48.37,59.1
00667,PR,Unarmed Guard,40.35,18.88,61.83
00667,PR,Armed Guard,38.29,24.7,51.89
00667,PR,Executive Protection,62.83,56.17,69.49
00669,PR,Unarmed Guard,39.22,19.78,58.66
00669,PR,Armed Guard,28.62,25.07,32.17
00669,PR,Executive Protection,73.73,50.06,97.41
00670,PR,Unarmed Guard,22.82,18.73,26.91
00670,PR,Armed Guard,44.64,37.21,52.06
00670,PR,Executive Protection,47.87,42.78,52.96
00674,PR,Unarmed Guard,39.58,19.73,59.42
00674,PR,Armed Guard,46.51,37.8,55.21
00674,PR,Executive Protection,61.97,42.45,81.48
00676,PR,Unarmed Guard,41.86,19.88,63.83
00676,PR,Armed Guard,37.34,23.11,51.56
00676,PR,Executive Protection,45.01,40.07,49.95
00677,PR,Unarmed Guard,25.64,19.46,31.81
00677,PR,Armed Guard,38.38,32.73,44.04
00677,PR,Executive Protection,49.79,40.92,58.66
00678,PR,Unarmed Guard,42.45,18.32,66.58
00678,PR,Armed Guard,32.93,28.89,36.97
00678,PR,Executive Protection,53.27,45.37,61.16
00682,PR,Unarmed Guard,22.71,19.02,26.41
00682,PR,Armed Guard,55.18,30.46,79.9
00682,PR,Executive Protection,70.21,49.42,90.99
00680,PR,Unarmed Guard,32.81,18.88,46.73
00680,PR,Armed Guard,34.05,22.56,45.53
00680,PR,Executive Protection,71.37,52.57,90.16
00683,PR,Unarmed Guard,40.21,18.75,61.68
00683,PR,Armed Guard,45.23,39.02,51.44
00683,PR,Executive Protection,69.22,50.29,88.15
00685,PR,Unarmed Guard,39.76,18.18,61.35
00685,PR,Armed Guard,35.57,31.95,39.2
00685,PR,Executive Protection,50.55,47.43,53.66
00687,PR,Unarmed Guard,23.83,18.67,28.99
00687,PR,Armed Guard,45.49,37.96,53.02
00687,PR,Executive Protection,59.35,47.52,71.18
00688,PR,Unarmed Guard,35.87,18.04,53.7
00688,PR,Armed Guard,47.05,29.19,64.92
00688,PR,Executive Protection,54.44,43.15,65.73
00690,PR,Unarmed Guard,37.86,18.55,57.17
00690,PR,Armed Guard,39.39,27.87,50.9
00690,PR,Executive Protection,57.39,48.09,66.69
00692,PR,Unarmed Guard,26.0,19.65,32.36
00692,PR,Armed Guard,55.56,34.32,76.79
00692,PR,Executive Protection,63.31,59.26,67.35
00693,PR,Unarmed Guard,34.5,19.49,49.52
00693,PR,Armed Guard,56.47,38.57,74.38
00693,PR,Executive Protection,65.22,43.45,86.98
00698,PR,Unarmed Guard,31.42,18.76,44.08
00698,PR,Armed Guard,37.58,32.43,42.73
00698,PR,Executive Protection,74.31,56.73,91.88
00703,PR,Unarmed Guard,30.04,18.02,42.07
00703,PR,Armed Guard,46.94,31.99,61.89
00703,PR,Executive Protection,53.6,42.42,64.77
00704,PR,Unarmed Guard,27.88,18.1,37.66
00704,PR,Armed Guard,33.66,30.95,36.36
00704,PR,Executive Protection,57.98,45.53,70.43
00705,PR,Unarmed Guard,43.8,18.81,68.79
00705,PR,Armed Guard,46.07,37.71,54.43
00705,PR,Executive Protection,68.43,53.52,83.34
00707,PR,Unarmed Guard,29.85,19.77,39.92
00707,PR,Armed Guard,50.18,38.59,61.76
00707,PR,Executive Protection,56.76,45.97,67.54
00714,PR,Unarmed Guard,41.12,18.4,63.83
00714,PR,Armed Guard,36.34,31.01,41.67
00714,PR,Executive Protection,79.84,57.5,102.18
00715,PR,Unarmed Guard,41.66,19.14,64.18
00715,PR,Armed Guard,26.1,22.06,30.14
00715,PR,Executive Protection,69.72,47.28,92.17
00717,PR,Unarmed Guard,23.82,18.42,29.23
00717,PR,Armed Guard,42.62,24.06,61.18
00717,PR,Executive Protection,61.0,47.0,74.99
00718,PR,Unarmed Guard,22.14,18.28,26.01
00718,PR,Armed Guard,34.88,28.5,41.27
00718,PR,Executive Protection,54.46,41.36,67.56
00719,PR,Unarmed Guard,33.18,19.05,47.32
00719,PR,Armed Guard,55.89,34.39,77.39
00719,PR,Executive Protection,51.0,41.48,60.52
00720,PR,Unarmed Guard,33.22,18.98,47.47
00720,PR,Armed Guard,30.33,22.52,38.14
00720,PR,Executive Protection,61.87,49.78,73.95
00721,PR,Unarmed Guard,24.66,19.22,30.1
00721,PR,Armed Guard,52.66,28.11,77.22
00721,PR,Executive Protection,55.14,52.35,57.93
00723,PR,Unarmed Guard,37.98,19.97,56.0
00723,PR,Armed Guard,39.49,36.99,42.0
00723,PR,Executive Protection,71.76,50.44,93.08
00725,PR,Unarmed Guard,29.19,19.95,38.43
00725,PR,Armed Guard,58.86,34.27,83.45
00725,PR,Executive Protection,58.94,53.9,63.97
00729,PR,Unarmed Guard,37.48,18.62,56.33
00729,PR,Armed Guard,25.56,21.47,29.65
00729,PR,Executive Protection,66.18,57.58,74.78
00730,PR,Unarmed Guard,35.1,19.51,50.69
00730,PR,Armed Guard,42.72,35.25,50.19
00730,PR,Executive Protection,76.18,57.43,94.93
00735,PR,Unarmed Guard,22.9,19.81,25.99
00735,PR,Armed Guard,33.35,23.38,43.31
00735,PR,Executive Protection,75.88,52.01,99.74
00736,PR,Unarmed Guard,44.07,19.93,68.2
00736,PR,Armed Guard,48.51,33.52,63.5
00736,PR,Executive Protection,74.71,57.68,91.74
00738,PR,Unarmed Guard,41.76,19.7,63.81
00738,PR,Armed Guard,41.94,32.69,51.19
00738,PR,Executive Protection,53.62,41.33,65.92
00739,PR,Unarmed Guard,38.19,19.74,56.64
00739,PR,Armed Guard,43.82,26.67,60.96
00739,PR,Executive Protection,72.06,54.57,89.55
00740,PR,Unarmed Guard,42.73,18.8,66.66
00740,PR,Armed Guard,60.95,37.47,84.43
00740,PR,Executive Protection,64.6,59.59,69.6
00791,PR,Unarmed Guard,42.58,18.3,66.86
00791,PR,Armed Guard,31.83,24.19,39.47
00791,PR,Executive Protection,71.04,53.38,88.69
00741,PR,Unarmed Guard,39.54,19.65,59.43
00741,PR,Armed Guard,25.81,22.45,29.17
00741,PR,Executive Protection,75.85,51.52,100.19
00744,PR,Unarmed Guard,36.38,18.67,54.08
00744,PR,Armed Guard,34.45,26.93,41.96
00744,PR,Executive Protection,53.57,48.8,58.34
00745,PR,Unarmed Guard,42.92,19.96,65.89
00745,PR,Armed Guard,31.79,29.27,34.3
00745,PR,Executive Protection,73.58,58.37,88.79
00751,PR,Unarmed Guard,25.64,19.33,31.95
00751,PR,Armed Guard,39.61,29.91,49.31
00751,PR,Executive Protection,70.6,47.21,93.99
00754,PR,Unarmed Guard,40.96,19.57,62.35
00754,PR,Armed Guard,34.32,27.38,41.27
00754,PR,Executive Protection,55.31,45.45,65.18
00757,PR,Unarmed Guard,31.75,19.48,44.02
00757,PR,Armed Guard,42.58,37.86,47.3
00757,PR,Executive Protection,48.33,40.64,56.02
00765,PR,Unarmed Guard,43.0,18.67,67.34
00765,PR,Armed Guard,55.56,37.21,73.91
00765,PR,Executive Protection,78.21,57.44,98.99
00766,PR,Unarmed Guard,37.91,18.55,57.27
00766,PR,Armed Guard,51.26,27.55,74.98
00766,PR,Executive Protection,51.44,47.43,55.44
00767,PR,Unarmed Guard,33.71,19.31,48.1
00767,PR,Armed Guard,40.47,21.99,58.94
00767,PR,Executive Protection,63.72,41.24,86.21
00769,PR,Unarmed Guard,38.36,19.0,57.71
00769,PR,Armed Guard,57.51,35.75,79.27
00769,PR,Executive Protection,62.68,42.45,82.92
00771,PR,Unarmed Guard,28.09,18.96,37.22
00771,PR,Armed Guard,32.92,29.69,36.14
00771,PR,Executive Protection,61.35,44.15,78.55
00772,PR,Unarmed Guard,37.51,19.74,55.27
00772,PR,Armed Guard,49.91,34.37,65.45
00772,PR,Executive Protection,60.25,50.13,70.37
00773,PR,Unarmed Guard,33.54,19.17,47.91
00773,PR,Armed Guard,32.0,28.17,35.84
00773,PR,Executive Protection,62.44,55.19,69.68
00775,PR,Unarmed Guard,29.76,19.08,40.45
00775,PR,Armed Guard,41.31,28.44,54.19
00775,PR,Executive Protection,61.9,55.57,68.23
00777,PR,Unarmed Guard,36.18,19.89,52.48
00777,PR,Armed Guard,40.51,37.87,43.16
00777,PR,Executive Protection,53.5,45.1,61.9
00778,PR,Unarmed Guard,37.72,18.31,57.14
00778,PR,Armed Guard,54.93,34.89,74.98
00778,PR,Executive Protection,60.5,51.12,69.88
00780,PR,Unarmed Guard,27.6,19.97,35.23
00780,PR,Armed Guard,39.16,32.94,45.37
00780,PR,Executive Protection,62.01,49.52,74.5
00782,PR,Unarmed Guard,29.6,18.49,40.71
00782,PR,Armed Guard,39.4,26.2,52.6
00782,PR,Executive Protection,65.09,53.1,77.09
00783,PR,Unarmed Guard,34.52,18.34,50.7
00783,PR,Armed Guard,42.2,23.24,61.15
00783,PR,Executive Protection,59.88,48.44,71.33
00784,PR,Unarmed Guard,30.76,19.43,42.09
00784,PR,Armed Guard,43.0,28.03,57.97
00784,PR,Executive Protection,64.8,47.95,81.65
00786,PR,Unarmed Guard,22.85,19.5,26.19
00786,PR,Armed Guard,56.43,35.51,77.34
00786,PR,Executive Protection,62.79,55.48,70.11
00794,PR,Unarmed Guard,29.02,19.62,38.42
00794,PR,Armed Guard,46.84,24.03,69.65
00794,PR,Executive Protection,75.56,52.9,98.21
00795,PR,Unarmed Guard,41.5,19.35,63.66
00795,PR,Armed Guard,36.09,28.89,43.29
00795,PR,Executive Protection,63.84,47.02,80.66
00802,VI,Unarmed Guard,22.72,19.42,26.01
00802,VI,Armed Guard,37.24,33.81,40.66
00802,VI,Executive Protection,53.78,47.31,60.25
00820,VI,Unarmed Guard,30.53,18.91,42.14
00820,VI,Armed Guard,49.51,30.4,68.61
00820,VI,Executive Protection,67.94,55.16,80.72
00830,VI,Unarmed Guard,31.0,19.76,42.25
00830,VI,Armed Guard,48.44,38.22,58.65
00830,VI,Executive Protection,59.41,53.7,65.12
00840,VI,Unarmed Guard,30.26,19.63,40.9
00840,VI,Armed Guard,57.25,34.25,80.25
00840,VI,Executive Protection,64.69,41.21,88.16
00850,VI,Unarmed Guard,43.43,18.44,68.41
00850,VI,Armed Guard,33.37,21.67,45.06
00850,VI,Executive Protection,50.42,40.09,60.74
00901,PR,Unarmed Guard,39.89,19.26,60.52
00901,PR,Armed Guard,57.22,36.92,77.52
00901,PR,Executive Protection,76.33,55.92,96.75
00911,PR,Unarmed Guard,26.06,18.82,33.31
00911,PR,Armed Guard,61.06,38.7,83.43
00911,PR,Executive Protection,63.92,43.34,84.51
00907,PR,Unarmed Guard,36.48,19.72,53.24
00907,PR,Armed Guard,43.9,22.28,65.52
00907,PR,Executive Protection,66.65,43.08,90.22
00909,PR,Unarmed Guard,29.13,18.91,39.36
00909,PR,Armed Guard,62.7,39.41,86.0
00909,PR,Executive Protection,59.2,52.46,65.93
00915,PR,Unarmed Guard,27.4,18.41,36.39
00915,PR,Armed Guard,47.27,37.68,56.87
00915,PR,Executive Protection,63.64,54.58,72.71
00918,PR,Unarmed Guard,28.4,18.57,38.23
00918,PR,Armed Guard,39.39,26.04,52.74
00918,PR,Executive Protection,72.01,58.23,85.79
00968,PR,Unarmed Guard,37.53,19.8,55.26
00968,PR,Armed Guard,32.93,23.85,42.01
00968,PR,Executive Protection,51.07,47.06,55.09
00924,PR,Unarmed Guard,22.8,19.24,26.36
00924,PR,Armed Guard,30.06,24.69,35.42
00924,PR,Executive Protection,74.81,51.77,97.86
00926,PR,Unarmed Guard,40.34,18.12,62.56
00926,PR,Armed Guard,56.09,33.06,79.12
00926,PR,Executive Protection,75.06,54.74,95.37
00927,PR,Unarmed Guard,28.3,18.2,38.4
00927,PR,Armed Guard,43.33,33.61,53.06
00927,PR,Executive Protection,75.45,54.11,96.79
00925,PR,Unarmed Guard,32.66,18.94,46.37
00925,PR,Armed Guard,47.52,27.19,67.85
00925,PR,Executive Protection,48.17,42.18,54.16
00921,PR,Unarmed Guard,40.52,19.97,61.08
00921,PR,Armed Guard,47.7,32.05,63.34
00921,PR,Executive Protection,76.25,57.28,95.23
00936,PR,Unarmed Guard,43.2,18.47,67.92
00936,PR,Armed Guard,39.19,28.95,49.43
00936,PR,Executive Protection,68.28,44.97,91.59
00979,PR,Unarmed Guard,25.34,18.08,32.61
00979,PR,Armed Guard,33.8,21.12,46.48
00979,PR,Executive Protection,66.56,58.34,74.78
00940,PR,Unarmed Guard,25.47,19.77,31.16
00940,PR,Armed Guard,54.09,35.74,72.44
00940,PR,Executive Protection,66.25,43.75,88.75
00949,PR,Unarmed Guard,37.37,19.34,55.4
00949,PR,Armed Guard,41.29,37.8,44.78
00949,PR,Executive Protection,70.14,57.5,82.79
00952,PR,Unarmed Guard,39.05,18.4,59.7
00952,PR,Armed Guard,35.38,26.75,44.0
00952,PR,Executive Protection,64.42,45.41,83.43
00953,PR,Unarmed Guard,24.05,19.2,28.91
00953,PR,Armed Guard,50.7,39.13,62.28
00953,PR,Executive Protection,76.65,52.79,100.51
00959,PR,Unarmed Guard,32.38,18.67,46.1
00959,PR,Armed Guard,42.86,21.74,63.98
00959,PR,Executive Protection,82.28,59.68,104.89
00957,PR,Unarmed Guard,40.0,18.77,61.23
00957,PR,Armed Guard,58.2,34.23,82.17
00957,PR,Executive Protection,59.51,43.44,75.58
00961,PR,Unarmed Guard,39.59,19.84,59.33
00961,PR,Armed Guard,45.07,28.93,61.2
00961,PR,Executive Protection,65.09,58.73,71.46
00962,PR,Unarmed Guard,24.59,18.6,30.58
00962,PR,Armed Guard,46.4,27.59,65.21
00962,PR,Executive Protection,68.7,56.5,80.89
00969,PR,Unarmed Guard,37.94,18.85,57.02
00969,PR,Armed Guard,54.99,34.71,75.27
00969,PR,Executive Protection,54.23,51.17,57.29
00976,PR,Unarmed Guard,26.33,18.24,34.41
00976,PR,Armed Guard,30.58,21.35,39.81
00976,PR,Executive Protection,73.64,49.31,97.98
00983,PR,Unarmed Guard,43.53,19.36,67.71
00983,PR,Armed Guard,57.34,38.16,76.52
00983,PR,Executive Protection,63.25,44.15,82.34
00985,PR,Unarmed Guard,32.49,19.13,45.85
00985,PR,Armed Guard,52.84,28.13,77.54
00985,PR,Executive Protection,54.39,40.06,68.71
01001,MA,Unarmed Guard,22.51,19.51,25.5
01001,MA,Armed Guard,39.42,22.95,55.88
01001,MA,Executive Protection,62.14,53.34,70.94
01002,MA,Unarmed Guard,26.04,19.56,32.52
01002,MA,Armed Guard,45.9,22.05,69.74
01002,MA,Executive Protection,59.36,48.0,70.72
01005,MA,Unarmed Guard,22.55,18.82,26.29
01005,MA,Armed Guard,58.86,34.5,83.21
01005,MA,Executive Protection,66.42,52.9,79.93
01007,MA,Unarmed Guard,39.25,18.19,60.3
01007,MA,Armed Guard,45.89,28.21,63.57
01007,MA,Executive Protection,77.16,57.55,96.77
01008,MA,Unarmed Guard,22.83,18.04,27.62
01008,MA,Armed Guard,34.3,23.88,44.72
01008,MA,Executive Protection,67.35,53.17,81.53
01009,MA,Unarmed Guard,33.96,18.66,49.27
01009,MA,Armed Guard,41.21,31.86,50.55
01009,MA,Executive Protection,52.03,41.84,62.22
01010,MA,Unarmed Guard,24.13,18.83,29.43
01010,MA,Armed Guard,43.14,31.01,55.27
01010,MA,Executive Protection,78.87,57.02,100.72
01011,MA,Unarmed Guard,41.27,19.05,63.48
01011,MA,Armed Guard,47.55,32.93,62.17
01011,MA,Executive Protection,56.06,40.54,71.59
01050,MA,Unarmed Guard,30.33,18.09,42.56
01050,MA,Armed Guard,54.31,39.86,68.76
01050,MA,Executive Protection,61.77,47.08,76.46
01012,MA,Unarmed Guard,36.03,18.45,53.61
01012,MA,Armed Guard,29.71,26.12,33.29
01012,MA,Executive Protection,66.78,53.77,79.79
01020,MA,Unarmed Guard,43.93,19.46,68.39
01020,MA,Armed Guard,31.87,25.42,38.33
01020,MA,Executive Protection,61.4,47.92,74.89
01013,MA,Unarmed Guard,25.24,19.27,31.2
01013,MA,Armed Guard,35.58,23.29,47.86
01013,MA,Executive Protection,59.65,45.73,73.57
01026,MA,Unarmed Guard,35.58,18.59,52.57
01026,MA,Armed Guard,43.8,37.44,50.17
01026,MA,Executive Protection,58.3,49.36,67.25
01027,MA,Unarmed Guard,32.56,19.24,45.88
01027,MA,Armed Guard,34.78,26.2,43.37
01027,MA,Executive Protection,67.8,52.77,82.83
01028,MA,Unarmed Guard,22.37,18.22,26.51
01028,MA,Armed Guard,59.87,35.03,84.7
01028,MA,Executive Protection,64.08,59.14,69.02
01029,MA,Unarmed Guard,23.6,19.87,27.33
01029,MA,Armed Guard,44.79,36.41,53.16
01029,MA,Executive Protection,61.72,52.91,70.53
01030,MA,Unarmed Guard,33.66,19.96,47.36
01030,MA,Armed Guard,29.73,22.56,36.9
01030,MA,Executive Protection,71.68,56.68,86.69
01031,MA,Unarmed Guard,38.14,18.61,57.67
01031,MA,Armed Guard,47.15,28.78,65.51
01031,MA,Executive Protection,72.67,59.59,85.75
01032,MA,Unarmed Guard,39.21,19.45,58.97
01032,MA,Armed Guard,47.28,38.29,56.27
01032,MA,Executive Protection,69.07,44.65,93.49
01033,MA,Unarmed Guard,24.47,19.44,29.49
01033,MA,Armed Guard,45.03,36.54,53.52
01033,MA,Executive Protection,64.57,41.64,87.5
01101,MA,Unarmed Guard,36.8,18.5,55.09
01101,MA,Armed Guard,41.79,37.39,46.19
01101,MA,Executive Protection,56.07,45.9,66.24
01034,MA,Unarmed Guard,42.07,18.64,65.5
01034,MA,Armed Guard,31.91,27.19,36.64
01034,MA,Executive Protection,70.96,47.5,94.42
01035,MA,Unarmed Guard,39.91,18.19,61.63
01035,MA,Armed Guard,42.89,38.25,47.54
01035,MA,Executive Protection,51.2,42.25,60.16
01036,MA,Unarmed Guard,43.19,19.31,67.07
01036,MA,Armed Guard,33.2,22.33,44.07
01036,MA,Executive Protection,54.46,51.81,57.12
01037,MA,Unarmed Guard,23.98,19.43,28.53
01037,MA,Armed Guard,44.71,23.23,66.18
01037,MA,Executive Protection,62.01,53.58,70.45
01038,MA,Unarmed Guard,28.62,19.14,38.11
01038,MA,Armed Guard,46.42,28.93,63.91
01038,MA,Executive Protection,74.14,59.85,88.42
01039,MA,Unarmed Guard,30.64,19.08,42.2
01039,MA,Armed Guard,31.57,25.0,38.14
01039,MA,Executive Protection,54.83,43.15,66.52
01096,MA,Unarmed Guard,22.92,19.57,26.26
01096,MA,Armed Guard,34.74,21.09,48.4
01096,MA,Executive Protection,62.48,47.4,77.57
01040,MA,Unarmed Guard,37.12,18.27,55.96
01040,MA,Armed Guard,47.02,33.69,60.34
01040,MA,Executive Protection,61.5,49.32,73.67
01053,MA,Unarmed Guard,30.64,18.56,42.71
01053,MA,Armed Guard,27.75,23.58,31.92
01053,MA,Executive Protection,67.4,50.05,84.75
01054,MA,Unarmed Guard,36.35,18.25,54.45
01054,MA,Armed Guard,45.73,25.03,66.43
01054,MA,Executive Protection,70.04,56.28,83.8
01056,MA,Unarmed Guard,43.76,19.98,67.54
01056,MA,Armed Guard,42.14,22.31,61.97
01056,MA,Executive Protection,52.61,43.15,62.08
01095,MA,Unarmed Guard,25.48,19.11,31.85
01095,MA,Armed Guard,53.4,34.37,72.43
01095,MA,Executive Protection,62.22,52.29,72.14
01057,MA,Unarmed Guard,23.32,18.94,27.7
01057,MA,Armed Guard,48.72,38.83,58.6
01057,MA,Executive Protection,53.0,45.78,60.21
01059,MA,Unarmed Guard,27.0,19.47,34.52
01059,MA,Armed Guard,30.32,24.12,36.51
01059,MA,Executive Protection,70.58,56.39,84.78
01060,MA,Unarmed Guard,41.16,18.2,64.13
01060,MA,Armed Guard,35.62,29.5,41.73
01060,MA,Executive Protection,73.32,56.67,89.98
01062,MA,Unarmed Guard,30.36,18.72,42.0
01062,MA,Armed Guard,28.42,22.61,34.23
01062,MA,Executive Protection,49.34,44.75,53.92
01066,MA,Unarmed Guard,35.03,18.53,51.53
01066,MA,Armed Guard,52.88,31.04,74.73
01066,MA,Executive Protection,61.35,47.71,75.0
01068,MA,Unarmed Guard,42.98,18.42,67.54
01068,MA,Armed Guard,33.96,30.15,37.77
01068,MA,Executive Protection,46.92,43.42,50.42
01069,MA,Unarmed Guard,27.66,19.7,35.63
01069,MA,Armed Guard,28.45,24.0,32.91
01069,MA,Executive Protection,48.79,42.44,55.14
01070,MA,Unarmed Guard,41.57,18.35,64.79
01070,MA,Armed Guard,47.04,27.09,66.99
01070,MA,Executive Protection,54.64,40.86,68.42
01071,MA,Unarmed Guard,26.01,19.77,32.25
01071,MA,Armed Guard,54.88,35.27,74.49
01071,MA,Executive Protection,73.66,55.67,91.64
01072,MA,Unarmed Guard,38.47,19.99,56.94
01072,MA,Armed Guard,27.51,23.83,31.2
01072,MA,Executive Protection,66.12,55.71,76.52
01073,MA,Unarmed Guard,25.26,18.97,31.55
01073,MA,Armed Guard,57.44,33.93,80.95
01073,MA,Executive Protection,57.61,45.56,69.65
01074,MA,Unarmed Guard,43.95,19.77,68.14
01074,MA,Armed Guard,35.49,30.66,40.32
01074,MA,Executive Protection,67.36,50.6,84.12
01075,MA,Unarmed Guard,40.01,18.13,61.9
01075,MA,Armed Guard,48.01,27.73,68.3
01075,MA,Executive Protection,79.01,56.25,101.77
01077,MA,Unarmed Guard,25.23,19.79,30.67
01077,MA,Armed Guard,52.35,31.36,73.35
01077,MA,Executive Protection,79.01,55.8,102.21
01079,MA,Unarmed Guard,28.87,19.28,38.46
01079,MA,Armed Guard,41.22,29.85,52.58
01079,MA,Executive Protection,72.99,49.56,96.42
01080,MA,Unarmed Guard,34.86,19.45,50.28
01080,MA,Armed Guard,44.41,38.89,49.94
01080,MA,Executive Protection,73.02,57.08,88.97
01081,MA,Unarmed Guard,38.3,19.54,57.05
01081,MA,Armed Guard,25.44,22.08,28.8
01081,MA,Executive Protection,69.4,53.52,85.28
01082,MA,Unarmed Guard,41.67,19.15,64.19
01082,MA,Armed Guard,48.58,39.45,57.7
01082,MA,Executive Protection,66.17,57.56,74.77
01083,MA,Unarmed Guard,43.49,19.02,67.96
01083,MA,Armed Guard,41.11,31.78,50.43
01083,MA,Executive Protection,63.21,51.98,74.44
01085,MA,Unarmed Guard,35.54,18.23,52.85
01085,MA,Armed Guard,47.0,31.8,62.19
01085,MA,Executive Protection,49.96,42.85,57.07
01089,MA,Unarmed Guard,25.87,19.38,32.35
01089,MA,Armed Guard,42.55,37.0,48.09
01089,MA,Executive Protection,61.02,43.41,78.63
01092,MA,Unarmed Guard,27.42,18.07,36.76
01092,MA,Armed Guard,55.6,36.68,74.53
01092,MA,Executive Protection,78.55,57.6,99.5
01093,MA,Unarmed Guard,41.8,19.11,64.49
01093,MA,Armed Guard,38.73,22.71,54.74
01093,MA,Executive Protection,79.63,54.87,104.39
01094,MA,Unarmed Guard,27.95,18.35,37.55
01094,MA,Armed Guard,47.47,23.8,71.13
01094,MA,Executive Protection,52.12,46.51,57.73
01098,MA,Unarmed Guard,41.2,18.31,64.1
01098,MA,Armed Guard,59.21,35.9,82.52
01098,MA,Executive Protection,62.98,47.1,78.86
01103,MA,Unarmed Guard,24.02,18.8,29.23
01103,MA,Armed Guard,59.72,36.54,82.89
01103,MA,Executive Protection,81.69,58.36,105.03
01107,MA,Unarmed Guard,29.83,18.4,41.27
01107,MA,Armed Guard,35.49,31.73,39.25
01107,MA,Executive Protection,70.34,51.16,89.52
01108,MA,Unarmed Guard,35.4,18.68,52.12
01108,MA,Armed Guard,38.75,21.77,55.72
01108,MA,Executive Protection,72.69,55.82,89.56
01115,MA,Unarmed Guard,39.3,19.74,58.87
01115,MA,Armed Guard,36.41,24.69,48.13
01115,MA,Executive Protection,66.94,54.21,79.67
